"","V0","V1","V2"
"93","affix",7267,4
"94","afire",12321,5
"95","afisr",11688,5
"96","afoot",10741,4
"97","afoul",10001,5
"98","afspc",9388,5
"99","after",11887,5
"100","again",12267,4
"101","agama",12931,3
"102","agape",12724,4
"103","agate",13490,4
"104","agave",12043,4
"105","agaze",11807,4
"106","agene",13280,4
"107","agent",11663,5
"108","aggro",10015,4
"109","aghan",10982,4
"110","agile",12300,5
"111","aging",9464,4
"112","agism",10775,5
"113","aglet",11866,5
"114","aglow",9355,5
"115","agnes",12647,5
"116","agnus",10599,5
"117","agone",12135,5
"118","agony",9705,5
"119","agora",12818,4
"120","agree",13793,4
"121","ahead",13022,4
"122","ahmad",10676,4
"123","ahmed",10506,5
"124","ahura",12080,4
"125","aided",11887,4
"126","aides",13504,5
"127","aiken",11958,5
"128","ailey",12503,5
"129","aimed",11791,5
"130","aimee",14041,4
"131","aioli",12605,4
"132","aired",12993,5
"133","aisle",14300,5
"134","ajaia",13405,3
"135","ajuga",9737,4
"136","akaba",12547,3
"137","akira",12641,4
"138","akron",10852,5
"139","alamo",12795,4
"140","aland",12379,4
"141","alarm",12796,4
"142","alary",12712,4
"143","alate",14669,4
"144","alban",12038,4
"145","albee",13525,4
"146","alben",11868,5
"147","album",9131,5
"148","albus",10844,5
"149","alcea",14042,4
"150","alces",13239,5
"151","alder",12722,5
"152","aldol",11267,4
"153","aleph",11265,5
"154","alert",13355,5
"155","aleut",12451,5
"156","aleve",13052,4
"157","algae",13653,4
"158","algal",12199,3
"159","alger",12339,5
"160","algid",10050,5
"161","algin",10643,5
"162","algol",10884,4
"163","aliae",15103,4
"164","alias",14470,4
"165","alibi",11159,4
"166","alice",12689,5
"167","alien",13276,5
"168","align",10643,5
"169","alike",12161,5
"170","aline",13276,5
"171","alive",11869,5
"172","alkyd",8664,5
"173","alkyl",9460,4
"174","allah",12364,3
"175","allay",12402,3
"176","allen",13005,4
"177","aller",13518,4
"178","alley",12232,4
"179","allis",12846,4
"180","allot",11900,4
"181","allow",10534,4
"182","alloy",11087,4
"183","allyl",10778,3
"184","alnus",11778,5
"185","aloes",14338,5
"186","aloft",10432,5
"187","aloha",12673,4
"188","alois",13155,5
"189","alone",13314,5
"190","along",10681,5
"191","aloof",10904,4
"192","alosa",14508,4
"193","aloud",10673,5
"194","aloys",11908,5
"195","alpha",11435,4
"196","altai",13486,4
"197","altar",13525,4
"198","altay",12239,4
"199","alter",13355,5
"200","alton",11697,5
"201","alula",12784,3
"202","alvar",12078,4
"203","alvin",10212,5
"204","amain",12554,4
"205","amara",14420,3
"206","amass",14128,3
"207","amati",12594,4
"208","amaze",12094,4
"209","amber",11489,5
"210","ambit",9833,5
"211","amble",11179,5
"212","ameba",12803,4
"213","ameer",14080,4
"214","amend",11317,5
"215","ament",11950,5
"216","amici",10614,4
"217","amide",11791,5
"218","amigo",10263,5
"219","amine",12384,5
"220","amino",11239,5
"221","amish",10940,5
"222","amiss",12775,4
"223","amity",9994,5
"224","amman",11391,3
"225","ammon",10076,4
"226","amnia",12554,4
"227","amnic",10140,5
"228","amnio",11239,5
"229","among",9789,5
"230","amora",13105,4
"231","amort",11318,5
"232","amour",10887,5
"233","ample",11387,5
"234","amply",8957,5
"235","ampul",9339,5
"236","amuck",8160,5
"237","amusd",10293,5
"238","amuse",12543,5
"239","anasa",15620,3
"240","ancon",10867,4
"241","ancts",11419,5
"242","andes",13030,5
"243","andre",12519,5
"244","anele",14459,4
"245","angas",12817,4
"246","angel",11826,5
"247","anger",12136,5
"248","angle",11826,5
"249","anglo",10681,5
"250","angry",9706,5
"251","angst",11030,5
"252","angus",10599,5
"253","anile",13276,5
"254","anima",12554,4
"255","anime",12384,5
"256","anion",11928,4
"257","anise",14097,5
"258","anjou",9398,5
"259","ankle",11687,5
"260","ankus",10460,5
"261","annam",12080,3
"262","annex",10980,4
"263","annie",13073,4
"264","annon",11454,3
"265","annoy",10681,4
"266","annul",10754,4
"267","annum",9862,4
"268","annwn",9616,3
"269","anode",12518,5
"270","anole",13314,5
"271","anomy",9992,5
"272","anova",11874,4
"273","ansar",14306,4
"274","anser",14136,5
"275","antae",14466,4
"276","antic",10869,5
"277","antis",12480,5
"278","anton",11494,4
"279","antra",13322,4
"280","antsy",11233,5
"281","antum",9902,5
"282","anura",12891,4
"283","anvil",10212,5
"284","anwar",11956,4
"285","anzac",10539,4
"286","anzio",10285,5
"287","aorta",13834,4
"288","aotus",12127,5
"289","apace",13113,4
"290","apart",12596,4
"291","apery",11613,5
"292","apgar",11580,4
"293","aphid",9286,5
"294","aphis",10903,5
"295","apian",12517,4
"296","apios",12226,5
"297","apish",10903,5
"298","apium",9610,5
"299","apnea",13700,4
"300","appal",11520,3
"301","apple",11350,4
"302","apply",8920,4
"303","appro",10515,4
"304","april",11406,5
"305","apron",11241,5
"306","apsis",12738,4
"307","aptly",9686,5
"308","aqaba",11909,3
"309","aquae",12282,4
"310","arame",14250,4
"311","arava",13702,3
"312","arawn",11956,4
"313","arbor",11546,4
"314","arced",11932,5
"315","arcus",11501,5
"316","ardea",14346,4
"317","ardeb",11585,5
"318","ardor",11887,4
"319","areal",15142,4
"320","areas",15963,4
"321","areca",14352,4
"322","arena",14939,4
"323","arere",15282,3
"324","arete",14809,4
"325","argal",12509,4
"326","argil",11156,5
"327","argle",12339,5
"328","argon",10991,5
"329","argos",12015,5
"330","argot",11031,5
"331","argue",11745,5
"332","argun",10088,5
"333","argus",11112,5
"334","arhat",12511,4
"335","arhus",11277,5
"336","arial",13959,4
"337","aries",14610,5
"338","arise",14610,5
"339","arity",11196,5
"340","arius",12562,5
"341","arles",14339,5
"342","armed",11830,5
"343","armet",12463,5
"344","armin",11240,5
"345","armor",11791,4
"346","aroid",11848,5
"347","aroma",13105,4
"348","arose",14648,5
"349","arras",14819,3
"350","array",13022,3
"351","arrow",11154,4
"352","arroz",10837,4
"353","arses",15160,4
"354","arsis",13977,4
"355","arson",12991,5
"356","artal",13525,4
"357","artel",13355,5
"358","artie",13626,5
"359","artsd",11926,5
"360","artsy",11746,5
"361","artur",11617,4
"362","aruba",11957,4
"363","arulo",11779,5
"364","aruru",11186,3
"365","aryan",12509,4
"366","asala",15823,3
"367","asama",14931,3
"368","asana",15620,3
"369","asaph",12256,4
"370","asarh",13495,4
"371","asbat",12899,4
"372","ascii",12327,4
"373","ascot",11931,5
"374","ascus",12012,4
"375","asdic",11260,5
"376","asean",15450,4
"377","asekd",11915,5
"378","ashen",12812,5
"379","ashes",13836,4
"380","ashir",12142,5
"381","ashur",11277,5
"382","asian",14267,4
"383","aside",13504,5
"384","asked",11915,5
"385","asker",13021,5
"386","askew",11182,5
"387","aspen",12897,5
"388","asper",13410,5
"389","aspic",11127,5
"390","aspis",12738,4
"391","assam",14128,3
"392","assay",14044,3
"393","asses",15671,3
"394","asset",14687,4
"395","assur",13112,4
"396","aster",14176,5
"397","astir",12993,5
"398","astor",13031,5
"399","asura",13915,4
"400","aswan",12467,4
"401","ataxy",10417,4
"402","athar",12511,4
"403","athol",10886,5
"404","athos",11707,5
"405","atilt",11699,4
"406","atlas",14036,4
"407","atole",13354,5
"408","atoll",11900,4
"409","atoms",11829,5
"410","atone",13151,5
"411","atony",10721,5
"412","atopy",9995,5
"413","atria",13796,4
"414","atrip",11243,5
"415","attar",13362,3
"416","attic",10909,4
"417","audad",11192,3
"418","auden",11615,5
"419","audio",10944,5
"420","audit",10472,5
"421","auger",11745,5
"422","aught",8804,5
"423","augur",9697,4
"424","aunty",9818,5
"425","aurae",14548,4
"426","aural",13094,4
"427","aurar",13404,3
"428","aurei",13195,5
"429","auric",10951,5
"430","autos",12127,5
"431","auxin",9406,5
"432","avahi",11025,4
"433","avail",12039,4
"434","avant",11402,4
"435","avena",13019,4
"436","avene",12849,4
"437","avens",12216,5
"438","avert",11745,5
"439","avian",11836,4
"440","avoid",9928,5
"441","await",11957,4
"442","awake",11985,4
"443","award",11363,4
"444","aware",13613,4
"445","awash",11656,4
"446","awful",8163,5
"447","awing",9114,5
"448","awned",10680,5
"449","awoke",10670,5
"450","axial",11827,4
"451","axile",11657,5
"452","axils",11024,5
"453","axiom",9620,5
"454","axles",12207,5
"455","axone",11492,5
"456","axons",10859,5
"457","azeri",11943,5
"458","azide",10837,5
"459","azido",9692,5
"460","azoic",9698,5
"461","azote",11508,5
"462","aztec",10409,5
"463","azure",11078,5
"464","babar",11414,3
"465","babel",10934,4
"466","babka",9786,3
"467","baboo",10098,3
"468","babys",9325,4
"469","bacca",10661,3
"470","baccy",8061,4
"471","backs",9330,5
"472","bacon",9933,5
"473","badge",10096,5
"474","badly",8845,5
"475","baeda",12899,4
"476","bagel",10892,5
"477","baggy",7283,4
"478","bahai",11498,4
"479","bahia",11498,4
"480","bains",11506,5
"481","bairn",10995,5
"482","baisa",13333,4
"483","baits",11546,5
"484","baiza",10666,4
"485","baize",10496,5
"486","baked",9957,5
"487","baker",11063,5
"488","bakes",11574,5
"489","bakke",9435,4
"490","balas",13062,4
"491","baldr",10131,5
"492","baldy",8845,5
"493","bales",12892,5
"494","balky",8323,5
"495","balls",11438,4
"496","bally",9641,4
"497","balmy",8749,5
"498","balsa",13062,4
"499","balto",10763,5
"500","banal",12038,4
"501","bands",10439,5
"502","bandy",8642,5
"503","banff",7478,4
"504","banjo",8855,5
"505","banks",9917,5
"506","banns",11032,4
"507","banti",10522,5
"508","bantu",9657,5
"509","barbs",10611,4
"510","barbu",9196,4
"511","barde",11585,5
"512","bared",11585,5
"513","barge",11202,5
"514","baric",10408,5
"515","barks",10430,5
"516","barky",8633,5
"517","barmy",9059,5
"518","barns",11545,5
"519","baron",11033,5
"520","barth",9750,5
"521","barye",11405,5
"522","basal",13062,4
"523","based",12096,5
"524","basel",12892,5
"525","baser",13202,5
"526","bases",13713,4
"527","basia",13333,4
"528","basic",10919,5
"529","basil",11709,5
"530","basin",11506,5
"531","basis",12530,4
"532","basks",10941,4
"533","basle",12892,5
"534","basra",13372,4
"535","basse",13713,4
"536","bassi",12530,4
"537","basso",12568,4
"538","baste",12729,5
"539","batch",8650,5
"540","bated",11112,5
"541","bathe",10894,5
"542","baths",10261,5
"543","batik",9407,5
"544","batis",11546,5
"545","batna",11875,4
"546","baton",10560,5
"547","batty",9315,4
"548","baulk",8705,5
"549","bawdy",7316,5
"550","bayat",11102,4
"551","bayer",11405,5
"552","bayes",11916,5
"553","bayou",9356,5
"554","bazar",10705,4
"555","caaba",13075,3
"556","cabal",11451,4
"557","cabby",7714,4
"558","caber",11591,5
"559","cabin",9895,5
"560","cable",11281,5
"561","cabot",9973,5
"562","cacao",12107,3
"563","cache",10614,4
"564","cachi",9431,4
"565","cacti",10282,4
"566","caddo",9681,4
"567","caddy",8396,4
"568","cadet",11459,5
"569","cadge",10443,5
"570","cadiz",8593,5
"571","cadra",12102,4
"572","cadre",11932,5
"573","caeca",13252,3
"574","cafes",11771,5
"575","caffe",9482,4
"576","caged",10443,5
"577","cager",11549,5
"578","cages",12060,5
"579","cagey",10263,5
"580","cairn",11342,5
"581","cairo",11854,5
"582","cajan",10517,4
"583","cajun",8299,5
"584","caked",10304,5
"585","cakes",11921,5
"586","calan",12385,4
"587","caley",11442,5
"588","calif",9767,5
"589","calix",9413,5
"590","calks",10467,5
"591","calla",12588,3
"592","calli",11235,4
"593","calls",11785,4
"594","calms",10893,5
"595","calpe",11489,5
"596","calve",10808,5
"597","calyx",8166,5
"598","camas",12517,4
"599","camel",11526,5
"600","cameo",11835,5
"601","camps",9964,5
"602","campy",8167,5
"603","camus",10299,5
"604","canal",12385,4
"605","candy",8989,5
"606","canes",13036,5
"607","canid",10236,5
"608","canis",11853,5
"609","canna",12182,3
"610","canny",9582,4
"611","canoe",12524,5
"612","canon",10867,4
"613","canto",10907,5
"614","canty",9622,5
"615","capek",10171,5
"616","caper",11799,5
"617","capes",12310,5
"618","capet",11326,5
"619","capiz",8460,5
"620","capon",10141,5
"621","capra",11969,4
"622","capri",10616,5
"623","caput",9278,5
"624","carat",12735,4
"625","carbo",10446,5
"626","cards",11299,5
"627","cared",11932,5
"628","cares",13549,5
"629","caret",12565,5
"630","carew",11199,5
"631","carex",10906,5
"632","cargo",10404,5
"633","carib",10408,5
"634","carlo",11583,5
"635","carne",12525,5
"636","carny",10095,5
"637","carob",10446,5
"638","carol",11583,5
"639","carom",10691,5
"640","carpi",10616,5
"641","carps",11166,5
"642","carry",10608,4
"643","carte",12565,5
"644","carts",11932,5
"645","carum",9788,5
"646","carve",11118,5
"647","carya",11922,4
"648","cased",12443,5
"649","cases",14060,4
"650","casey",12263,5
"651","casks",11288,4
"652","caste",13076,5
"653","casts",12443,4
"654","casus",12012,4
"655","catch",8997,4
"656","cater",12565,5
"657","catha",11411,4
"658","catty",9662,4
"659","cauda",11198,4
"660","caulk",9052,5
"661","causa",12815,4
"662","cause",12645,5
"663","cavae",12432,4
"664","caves",11629,5
"665","cavia",11249,4
"666","cavil",9625,5
"667","cavum",7868,5
"668","dacca",11002,3
"669","dacha",10778,4
"670","daddy",8390,3
"671","daffo",8331,4
"672","daffy",7046,4
"673","dafla",11114,4
"674","dagan",11200,4
"675","dagda",10607,3
"676","dagga",10224,3
"677","dagon",9885,5
"678","dahna",11365,4
"679","daily",10253,5
"680","dairy",10563,5
"681","daisy",11074,5
"682","dakar",11574,4
"683","dalai",12853,4
"684","dalea",14036,4
"685","dales",13233,5
"686","dally",9982,4
"687","damar",12000,4
"688","damon",10172,5
"689","danau",11785,4
"690","dance",11419,5
"691","dandy",8983,4
"692","danse",13030,5
"693","dante",12046,5
"694","daraf",11424,4
"695","dared",11926,4
"696","dares",13543,5
"697","darpa",11963,4
"698","darts",11926,5
"699","dasht",10602,5
"700","dated",11453,4
"701","dates",13070,5
"702","datum",9309,5
"703","daunt",9998,5
"704","david",8823,4
"705","davis",10440,5
"706","davit",9456,5
"707","davys",9193,5
"708","dawah",10039,4
"709","dawes",11704,5
"710","dayan",11403,4
"711","dazed",9770,4
"712","eager",13793,4
"713","eagle",13483,4
"714","eagre",13793,4
"715","eames",14591,4
"716","eamon",12422,5
"717","eared",14176,4
"718","early",12542,5
"719","earns",14136,5
"720","earth",12341,5
"721","eased",14687,4
"722","easel",15483,4
"723","eases",16304,3
"724","eaten",14296,4
"725","eater",14809,4
"726","eaton",13151,5
"727","eaves",13873,4
"728","fable",10603,5
"729","faced",10154,5
"730","facer",11260,5
"731","faces",11771,5
"732","facet",10787,5
"733","facia",11391,4
"734","facie",11221,5
"735","facto",9642,5
"736","facts",10154,5
"737","faddy",7718,4
"738","faded",10148,4
"739","fades",11765,5
"740","faery",11074,5
"741","fagin",9175,5
"742","fagot",9253,5
"743","fagus",9334,5
"744","fails",11378,5
"745","faint",10191,5
"746","fairs",11688,5
"747","fairy",9891,5
"748","faith",9380,5
"749","faked",9626,5
"750","faker",10732,5
"751","fakir",9549,5
"752","falco",9805,5
"753","falla",11910,3
"754","falls",11107,4
"755","false",12561,5
"756","falun",9489,5
"757","famed",10052,5
"758","fancy",8317,5
"759","fangs",9725,5
"760","fanny",8904,4
"761","faqir",8911,5
"762","farad",11424,4
"763","farce",11260,5
"764","fares",12871,5
"765","fargo",9726,5
"766","farms",10525,5
"767","faroe",12359,5
"768","farsi",11688,5
"769","faruk",8684,5
"770","fasts",11765,4
"771","fatah",10733,4
"772","fatal",11747,4
"773","fated",10781,5
"774","fates",12398,5
"775","fatso",11253,5
"776","fatty",8984,4
"777","fatwa",10218,4
"778","fauld",8896,5
"779","fault",9529,5
"780","fauna",11113,4
"781","fauns",10310,5
"782","faust",10350,5
"783","fauve",9536,5
"784","favor",9295,5
"785","favus",8903,5
"786","fawns",9375,5
"787","faxed",9122,5
"788","fazed",9098,5
"789","gabby",7325,4
"790","gable",10892,5
"791","gabon",9544,5
"792","gabor",10057,5
"793","gabun",8641,5
"794","gaddi",9254,4
"795","gadus",10006,5
"796","gaffe",9093,4
"797","gaffs",8460,4
"798","gafsa",11552,4
"799","gaily",9870,5
"800","gains",11464,5
"801","gaius",11073,5
"802","galan",11996,4
"803","galax",10377,4
"804","galea",13653,4
"805","galen",11826,5
"806","gales",12850,5
"807","galls",11396,4
"808","gamal",11307,4
"809","gamba",10170,4
"810","games",11958,5
"811","gamey",10161,5
"812","gamin",9751,5
"813","gamma",10415,3
"814","gammy",7815,4
"815","gamow",8463,5
"816","gamut",8926,5
"817","gandy",8600,5
"818","ganef",10358,5
"819","gangs",10014,4
"820","ganja",10128,4
"821","ganof",9213,5
"822","gansu",10599,5
"823","garbo",10057,5
"824","garry",10219,4
"825","gases",13671,4
"826","gasps",11288,4
"827","gassy",11241,4
"828","gated",11070,5
"829","gates",12687,5
"830","gator",11031,5
"831","gaudi",9456,5
"832","gaudy",8209,5
"833","gauge",10256,4
"834","gaunt",9615,5
"835","gauri",10562,5
"836","gauss",11623,4
"837","gauze",9589,5
"838","gauzy",7159,5
"839","gavel",10419,5
"840","gavia",10860,4
"841","gawky",6752,5
"842","gayal",11223,4
"843","gayly",8623,4
"844","gazed",9387,5
"845","gazes",11004,5
"846","haart",12511,4
"847","haber",11367,5
"848","habet",10894,5
"849","habit",9711,5
"850","hacek",10086,5
"851","hacks",9453,5
"852","hadal",11568,4
"853","hades",12219,5
"854","hadji",8347,5
"855","hagia",11456,4
"856","haick",8903,5
"857","haida",11839,4
"858","haifa",11167,4
"859","haiku",9099,5
"860","haile",12465,5
"861","hails",11832,5
"862","hairs",12142,5
"863","hairy",10345,5
"864","haiti",11119,4
"865","hajji",7275,4
"866","hakea",12500,4
"867","hakes",11697,5
"868","hakim",8801,5
"869","hakka",9728,3
"870","halab",11227,4
"871","halal",12364,3
"872","haler",12504,5
"873","haley",11218,5
"874","halle",12194,4
"875","halls",11561,4
"876","halma",11472,4
"877","halon",10846,5
"878","halts",11398,5
"879","halve",10584,5
"880","haman",11269,4
"881","hamas",12293,4
"882","hammy",7980,4
"883","hands",10562,5
"884","handy",8765,5
"885","hangs",10179,5
"886","hanks",10040,5
"887","hanky",8243,5
"888","hanoi",11117,5
"889","haoma",11781,4
"890","hapax",9613,4
"891","haply",8835,5
"892","happy",7906,4
"893","hardy",9278,5
"894","hared",11708,5
"895","harem",11612,5
"896","hares",13325,5
"897","harks",10553,5
"898","harms",10979,5
"899","harpo",10430,5
"900","harps",10942,5
"901","harpy",9145,5
"902","harry",10384,4
"903","harsh",10857,4
"904","harte",12341,5
"905","harum",9564,5
"906","hasek",11697,5
"907","hasid",11036,5
"908","haste",12852,5
"909","hasty",10422,5
"910","hatch",8773,4
"911","hated",11235,5
"912","hater",12341,5
"913","hates",12852,5
"914","hatha",11187,3
"915","haulm",9254,5
"916","haunt",9780,5
"917","hausa",12591,4
"918","haute",11437,5
"919","havel",10584,5
"920","haven",10381,5
"921","havoc",8649,5
"922","hawai",11106,4
"923","hawed",9869,5
"924","hawks",8714,5
"925","hawse",11486,5
"926","haydn",8765,5
"927","hayek",9900,5
"928","hayes",12039,5
"929","hayti",9872,5
"930","hazan",10315,4
"931","hazel",10348,5
"932","iambi",10267,4
"933","iambs",10817,5
"934","ianfu",9760,5
"935","jabat",10210,4
"936","jabot",8895,5
"937","jacks",8599,5
"938","jacob",8268,5
"939","jaded",9748,4
"940","jafar",10352,4
"941","jaffa",8574,3
"942","jaggy",6552,4
"943","jagua",9737,4
"944","jails",10978,5
"945","jaish",9964,5
"946","jakes",10843,5
"947","jakob",7740,5
"948","jambs",8678,5
"949","james",11269,5
"950","jammu",7508,4
"951","jammy",7126,4
"952","janis",10775,5
"953","janus",9910,5
"954","japan",10378,4
"955","jason",10813,5
"956","jatis",10815,5
"957","jaunt",8926,5
"958","javan",9697,4
"959","javel",9730,5
"960","jawan",9778,4
"961","jawed",9015,5
"962","jazzy",5218,4
"963","kaaba",12547,3
"964","kabob",8471,4
"965","kabul",8705,5
"966","kadai",11535,4
"967","kafir",9549,5
"968","kafka",9274,3
"969","kakke",9254,3
"970","kalif",9239,5
"971","kalka",10742,3
"972","kalki",9389,4
"973","kalon",10542,5
"974","kamba",10031,4
"975","kamet",10835,5
"976","kamia",11439,4
"977","kanaf",10389,4
"978","kandy",8461,5
"979","kansa",12678,4
"980","kansu",10460,5
"981","kanzu",7793,5
"982","kapok",8498,4
"983","kappa",10202,3
"984","kaput",8750,5
"985","karat",12207,4
"986","karel",12200,5
"987","karen",11997,5
"988","karma",11478,4
"989","karok",9737,4
"990","karol",11055,5
"991","kasai",13152,4
"992","kasha",11867,4
"993","katar",12207,4
"994","kauai",11737,4
"995","kauri",10423,5
"996","kaury",9176,5
"997","kavir",9407,5
"998","kayak",9766,3
"999","kazak",8896,3
"1000","kazan",10011,4
"1001","kazoo",9208,4
"1002","laban",12038,4
"1003","label",12071,4
"1004","labia",12512,4
"1005","labor",11236,5
"1006","labra",12551,4
"1007","laced",11622,5
"1008","lacer",12728,5
"1009","laces",13239,5
"1010","lacks",10467,5
"1011","laden",12209,5
"1012","ladin",11026,5
"1013","ladle",12412,4
"1014","lagan",11996,4
"1015","lager",12339,5
"1016","lagos",11705,5
"1017","lahar",12674,4
"1018","laird",11539,5
"1019","lairy",11359,5
"1020","laity",10886,5
"1021","laius",12252,5
"1022","lakes",12711,5
"1023","lally",10778,3
"1024","lamas",13307,4
"1025","lambs",10546,5
"1026","lamia",12757,4
"1027","lamna",12283,4
"1028","lamps",10754,5
"1029","lanai",13446,4
"1030","lance",12215,5
"1031","lands",11576,5
"1032","lanes",13826,5
"1033","laney",12029,5
"1034","lange",11826,5
"1035","lanky",9257,5
"1036","lansa",13996,4
"1037","lapel",12279,4
"1038","lapin",10893,5
"1039","lapis",11917,5
"1040","lapse",13100,5
"1041","larch",10260,5
"1042","large",12339,5
"1043","largo",11194,5
"1044","larid",11539,5
"1045","larix",10513,5
"1046","larks",11567,5
"1047","larus",12291,5
"1048","larva",12078,4
"1049","lasek",12711,5
"1050","laser",14339,5
"1051","lasik",11528,5
"1052","lasix",11024,5
"1053","lassa",15020,3
"1054","lasso",13705,4
"1055","lasts",13233,4
"1056","latch",9787,5
"1057","later",13355,5
"1058","lates",13866,5
"1059","latex",11223,5
"1060","lathe",12031,5
"1061","lathi",10848,5
"1062","laths",11398,5
"1063","lathy",9601,5
"1064","latin",11659,5
"1065","latke",11727,5
"1066","latte",12882,4
"1067","lauan",12581,4
"1068","laude",11818,5
"1069","laudo",10673,5
"1070","laugh",8967,5
"1071","lavas",12589,4
"1072","laved",10802,5
"1073","laver",11908,5
"1074","lawns",10843,5
"1075","laxly",8956,4
"1076","layby",8665,4
"1077","layed",11436,5
"1078","layer",12542,5
"1079","layia",12673,4
"1080","layup",9255,5
"1081","lazar",11842,4
"1082","lazio",10488,5
"1083","maare",14250,4
"1084","macao",12005,4
"1085","macau",11102,4
"1086","macaw",10167,4
"1087","macer",11836,5
"1088","maces",12347,5
"1089","macho",9367,5
"1090","machu",8464,5
"1091","macon",10178,5
"1092","macro",10691,5
"1093","madam",10798,3
"1094","madia",11961,4
"1095","madly",9090,5
"1096","mafia",11289,4
"1097","magen",10934,5
"1098","magha",10293,4
"1099","magic",9164,5
"1100","magma",10415,3
"1101","magna",11104,4
"1102","magus",9910,5
"1103","mahan",11269,4
"1104","mahdi",9323,5
"1105","mahoe",11611,5
"1106","maidu",9743,5
"1107","mails",11954,5
"1108","maine",12384,5
"1109","mains",11751,5
"1110","maize",10741,5
"1111","major",9613,5
"1112","maker",11308,5
"1113","makes",11819,5
"1114","makin",9612,5
"1115","malar",12796,4
"1116","malay",11510,4
"1117","maleo",12625,5
"1118","males",13137,5
"1119","malik",9815,5
"1120","malls",11683,4
"1121","malmo",10279,4
"1122","malta",12323,4
"1123","malti",10970,5
"1124","malto",11008,5
"1125","malts",11520,5
"1126","malty",9723,5
"1127","malus",11089,5
"1128","malva",10876,4
"1129","mamba",10457,3
"1130","mambo",9142,4
"1131","mamet",11261,4
"1132","mamey",10448,4
"1133","mamma",10702,2
"1134","mammy",8102,3
"1135","manat",12120,4
"1136","manda",11487,4
"1137","mande",11317,5
"1138","maned",11317,5
"1139","manes",12934,5
"1140","manet",11950,5
"1141","manga",11104,4
"1142","mange",10934,5
"1143","mango",9789,5
"1144","mangy",8504,5
"1145","mania",12554,4
"1146","manic",10140,5
"1147","manis",11751,5
"1148","manky",8365,5
"1149","manly",9683,5
"1150","manna",12080,3
"1151","manor",11278,5
"1152","mansa",13104,4
"1153","manse",12934,5
"1154","mansi",11751,5
"1155","manta",12120,4
"1156","manul",10065,5
"1157","manus",10886,5
"1158","maori",11752,5
"1159","maple",11387,5
"1160","maras",13617,4
"1161","marat",12633,4
"1162","march",9368,5
"1163","marco",10691,5
"1164","mardi",10647,5
"1165","mares",13447,5
"1166","marge",11447,5
"1167","maria",13067,4
"1168","marie",12897,5
"1169","mario",11752,5
"1170","marks",10675,5
"1171","marly",10196,5
"1172","marne",12423,5
"1173","maroc",10691,5
"1174","marri",11753,4
"1175","marry",10506,4
"1176","marsh",10979,5
"1177","marta",12633,4
"1178","marti",11280,5
"1179","marum",9686,4
"1180","marut",10415,5
"1181","marya",11820,4
"1182","masai",13578,4
"1183","maser",13447,5
"1184","mashi",10940,5
"1185","masks",11186,4
"1186","mason",11789,5
"1187","masse",13958,4
"1188","massy",11528,4
"1189","masts",12341,4
"1190","matai",12594,4
"1191","match",8895,5
"1192","mated",11357,5
"1193","mater",12463,5
"1194","mates",12974,5
"1195","matey",11177,5
"1196","maths",10506,5
"1197","matte",11990,4
"1198","matzo",9162,5
"1199","maule",11722,5
"1200","mauna",11689,4
"1201","maund",9269,5
"1202","mauve",10112,5
"1203","maven",10503,5
